ultimateparentid,rssd,year,best_match,callReports_sample,summaryOfDeposits_sample,federalReserve_sample
132703,32926,1996,1,1,0,0
7909,34014,1989,0,1,0,0
7909,34014,1990,0,1,0,0
7909,34014,1991,0,1,0,0
7909,34014,1994,0,1,1,0
7909,34014,1995,0,1,1,0
7909,34014,1996,0,1,0,0
7909,34014,1997,0,1,0,0
7909,34014,1998,0,1,0,0
7909,34014,1999,0,1,0,0
7909,34014,2000,0,1,0,0
7909,34014,2001,0,1,0,0
7909,34014,2002,0,1,0,0
7909,34014,2003,0,1,0,0
7909,34014,2004,0,1,0,0
7909,34014,2005,0,1,0,0
7909,34014,2006,0,1,0,0
7909,34014,2007,0,1,0,0
7909,34014,2008,0,1,0,0
7909,34014,2009,0,1,0,0
7909,34014,2010,0,1,0,0
7909,34014,2011,0,1,0,0
7909,34014,2012,0,1,0,0
7909,34014,2013,0,1,0,0
7909,34014,2014,0,1,0,0
7909,34014,2015,0,1,0,0
90883,34425,2002,1,1,1,1
90883,34425,2004,1,1,1,1
90883,34425,2006,1,1,1,1
127916,34537,2009,1,1,1,1
6631,35459,1990,1,1,0,0
133973,36054,2010,1,1,1,0
9741,36063,1990,1,1,0,0
16208,36111,1993,0,1,0,1
16208,36111,1996,1,1,1,1
16208,36111,1998,1,1,1,1
16208,36111,1999,1,1,1,1
130248,36344,2009,1,1,1,0
130248,36344,2010,1,1,1,0
11274,36812,1991,1,1,0,0
11274,36812,1993,1,1,0,0
9946,37118,1991,1,1,0,0
31892,37435,1999,0,1,1,1
31892,37435,2001,0,1,1,1
31892,37435,2002,0,1,1,1
31892,37435,2003,0,1,1,1
31892,37435,2004,0,1,1,1
31892,37435,2005,0,1,1,1
31892,37435,2006,0,1,1,1
31892,37435,2007,0,1,1,1
31892,37435,2008,0,1,1,1
31892,37435,2009,0,1,1,1
31892,37435,2011,0,1,1,1
31892,37435,2012,0,1,1,1
31892,37435,2013,0,1,1,1
31892,37435,2014,0,1,1,1
31892,37435,2015,0,1,1,1
122417,38526,2008,1,1,1,0
143865,39475,2012,1,1,1,0
143865,39475,2013,1,1,1,0
143865,39475,2014,1,1,1,0
8902,40015,1987,0,1,0,0
8902,40015,1988,0,1,0,0
8902,40015,1989,0,1,0,0
8902,40015,1990,0,1,0,0
8902,40015,1991,0,1,0,0
8902,40015,1992,0,1,0,0
8902,40015,1993,0,1,0,0
8902,40015,1994,0,1,0,0
8902,40015,1995,0,1,0,0
8902,40015,1996,0,1,0,0
8902,40015,1997,1,1,0,0
8902,40015,1998,1,1,0,0
7909,40837,1987,0,1,0,0
7909,40837,1988,0,1,0,0
7909,40837,1989,0,1,0,0
7909,40837,1990,0,1,0,0
7909,40837,1991,0,1,0,0
7909,40837,1992,0,1,0,0
7909,40837,1993,0,1,0,0
7909,40837,1994,0,1,0,0
7909,40837,1995,0,1,0,0
8895,41067,1987,1,1,0,0
8895,41067,1988,1,1,0,0
8895,41067,1989,0,1,0,0
8895,41067,1990,0,1,0,0
8895,41067,1992,1,1,0,0
8895,41067,1993,1,1,0,0
8895,41067,1994,0,1,0,0
8895,41067,1995,0,1,0,0
8895,41067,1996,0,1,0,0
7859,41339,1987,0,1,0,0
7859,41339,1988,0,1,0,0
7859,41339,1989,0,1,0,0
7859,41339,1990,0,1,0,0
7859,41339,1991,0,1,0,0
7859,41339,1992,0,1,0,0
7859,41339,1993,0,1,0,0
7859,41339,1994,0,1,0,0
7859,41339,1995,0,1,0,0
7859,41339,1996,0,1,0,0
7859,41339,1997,0,1,0,0
7859,41339,1998,0,1,0,0
7859,41339,1999,0,1,0,0
7859,41339,2000,0,1,0,0
7859,41339,2001,0,1,0,0
7859,41339,2002,0,1,0,0
7859,41339,2003,0,1,0,0
7859,41339,2004,0,1,0,0
7859,41339,2005,0,1,0,0
7859,41339,2006,0,1,0,0
7859,41339,2007,0,1,0,0
7859,41339,2008,0,1,0,0
7859,41339,2009,0,1,0,0
17016,41629,1995,0,1,1,1
17016,41629,2013,1,1,1,1
17016,41629,2014,1,1,1,1
26165,42420,2001,0,1,1,1
26165,42420,2002,0,1,1,1
26165,42420,2003,0,1,1,1
26165,42420,2004,0,1,1,1
26165,42420,2005,0,1,1,1
26165,42420,2006,0,1,1,1
26165,42420,2007,0,1,1,1
26165,42420,2008,0,1,1,1
26165,42420,2009,0,1,1,1
26165,42420,2010,0,1,1,1
26165,42420,2011,0,1,1,1
26165,42420,2012,0,1,1,1
26165,42420,2013,0,1,1,1
26165,42420,2014,0,1,1,1
26165,42420,2015,0,1,1,1
33598,43052,1999,1,1,1,1
33598,43052,2006,1,1,1,1
36078,43164,2000,0,1,0,0
36078,43164,2001,0,1,0,0
36078,43164,2002,0,1,0,0
81677,43173,2003,1,1,1,1
81677,43173,2005,1,1,1,1
81677,43173,2006,1,1,1,1
81677,43173,2007,1,1,1,1
81677,43173,2008,1,1,1,1
81677,43173,2009,1,1,1,1
6466,44602,1989,1,1,0,0
6466,44602,1990,1,1,0,0
6466,44602,1999,1,1,1,0
84205,45551,2000,1,1,1,1
84205,45551,2001,1,1,1,1
84205,45551,2002,1,1,1,1
84205,45551,2003,1,1,1,1
84205,45551,2004,1,1,1,1
109703,45551,2005,0,1,1,1
109703,45551,2006,0,1,1,1
109703,45551,2007,0,1,1,1
109703,45551,2008,0,1,1,1
109703,45551,2009,1,1,1,1
109703,45551,2010,1,1,1,1
109703,45551,2011,1,1,1,1
122126,45551,2012,1,1,1,1
122126,45551,2014,1,1,1,1
109703,45551,2015,1,1,1,1
27907,46811,1997,1,1,1,0
127943,47171,1987,0,1,0,0
127943,47171,1988,0,1,0,0
6370,48655,1988,1,1,0,0
6370,48655,1991,1,1,0,0
114479,49821,2006,1,1,1,0
114479,49821,2008,1,1,1,0
8838,51262,1987,1,1,0,0
8838,51262,1988,0,1,0,0
9095,51262,1989,0,1,0,0
8838,51262,1990,0,1,0,0
8838,51262,1991,0,1,0,0
8838,51262,1992,0,1,0,0
8838,51262,1993,0,1,0,0
8838,51262,1994,0,1,0,0
9095,51262,1995,0,1,0,0
9095,51262,1996,0,1,0,0
